date,time,heartRate
2019-12-01,00:00,78
2019-12-01,00:01,80
2019-12-01,00:11,73
2019-12-01,00:12,107
2019-12-01,00:15,74
2019-12-01,00:16,102
2019-12-01,00:17,101
2019-12-01,00:30,47
2019-12-01,00:41,48
2019-12-01,00:43,76
2019-12-01,00:45,49
2019-12-01,00:47,70
2019-12-01,00:49,75
2019-12-01,00:51,75
2019-12-01,00:53,87
2019-12-01,00:55,81
2019-12-01,00:57,75
2019-12-01,01:01,75
2019-12-01,01:03,65
2019-12-01,01:05,49
2019-12-01,01:07,76
2019-12-01,01:09,75
2019-12-01,01:11,93
2019-12-01,01:13,80
2019-12-01,01:15,74
2019-12-01,01:17,61
2019-12-01,01:19,48
2019-12-01,01:21,62
2019-12-01,01:23,80
2019-12-01,01:25,75
2019-12-01,01:27,48
2019-12-01,01:29,70
2019-12-01,01:31,76
2019-12-01,01:33,50
2019-12-01,01:35,49
2019-12-01,01:37,48
2019-12-01,01:39,74
2019-12-01,01:41,75
2019-12-01,01:43,75
2019-12-01,01:45,75
2019-12-01,01:47,94
2019-12-01,01:49,75
2019-12-01,01:51,49
2019-12-01,01:53,52
2019-12-01,01:55,55
2019-12-01,01:57,75
2019-12-01,01:59,75
2019-12-01,02:01,75
2019-12-01,02:03,75
2019-12-01,02:05,51
2019-12-01,02:07,49
2019-12-01,02:09,47
2019-12-01,02:11,48
2019-12-01,02:13,48
2019-12-01,02:15,51
2019-12-01,02:17,74
2019-12-01,02:19,85
2019-12-01,02:21,75
2019-12-01,02:23,59
2019-12-01,02:25,94
2019-12-01,02:27,80
2019-12-01,02:29,51
2019-12-01,02:31,48
2019-12-01,02:33,56
2019-12-01,02:35,55
2019-12-01,02:37,49
2019-12-01,02:39,55
2019-12-01,02:41,55
2019-12-01,02:43,55
2019-12-01,02:45,55
2019-12-01,02:47,48
2019-12-01,02:49,59
2019-12-01,02:51,56
2019-12-01,02:53,55
2019-12-01,02:55,74
2019-12-01,02:57,56
2019-12-01,02:59,75
2019-12-01,03:01,48
2019-12-01,03:03,47
2019-12-01,03:05,48
2019-12-01,03:07,48
2019-12-01,03:09,48
2019-12-01,03:11,48
2019-12-01,03:13,75
2019-12-01,03:15,61
2019-12-01,03:17,48
2019-12-01,03:19,48
2019-12-01,03:21,76
2019-12-01,03:23,47
2019-12-01,03:25,62
2019-12-01,03:27,74
2019-12-01,03:29,48
2019-12-01,03:31,76
2019-12-01,03:33,48
2019-12-01,03:35,50
2019-12-01,03:37,49
2019-12-01,03:39,49
2019-12-01,03:41,47
2019-12-01,03:43,45
2019-12-01,03:45,94
2019-12-01,03:47,50
2019-12-01,03:49,48
2019-12-01,03:51,44
2019-12-01,03:53,48
2019-12-01,03:55,48
2019-12-01,03:57,48
2019-12-01,03:59,48
2019-12-01,04:01,94
2019-12-01,04:03,49
2019-12-01,04:05,49
2019-12-01,04:07,55
2019-12-01,04:09,45
2019-12-01,04:11,48
2019-12-01,04:13,52
2019-12-01,04:15,48
2019-12-01,04:17,48
2019-12-01,04:19,70
2019-12-01,04:21,71
2019-12-01,04:23,75
2019-12-01,04:25,48
2019-12-01,04:27,49
2019-12-01,04:29,48
2019-12-01,04:31,48
2019-12-01,04:33,48
2019-12-01,04:35,58
2019-12-01,04:37,42
2019-12-01,04:39,48
2019-12-01,04:41,71
2019-12-01,04:43,45
2019-12-01,04:45,48
2019-12-01,04:47,47
2019-12-01,04:49,48
2019-12-01,04:51,45
2019-12-01,04:53,44
2019-12-01,04:55,43
2019-12-01,04:57,44
2019-12-01,04:59,48
2019-12-01,05:01,44
2019-12-01,05:03,45
2019-12-01,05:05,49
2019-12-01,05:07,47
2019-12-01,05:09,48
2019-12-01,05:11,44
2019-12-01,05:13,75
2019-12-01,05:15,51
2019-12-01,05:17,48
2019-12-01,05:19,75
2019-12-01,05:21,48
2019-12-01,05:23,48
2019-12-01,05:25,45
2019-12-01,05:27,61
2019-12-01,05:29,44
2019-12-01,05:31,70
2019-12-01,05:33,76
2019-12-01,05:37,73
2019-12-01,05:39,51
2019-12-01,05:41,51
2019-12-01,05:43,45
2019-12-01,05:45,76
2019-12-01,05:46,95
2019-12-01,05:47,95
2019-12-01,05:48,71
2019-12-01,06:15,71
2019-12-01,06:41,71
2019-12-01,06:43,75
2019-12-01,06:45,63
2019-12-01,06:47,75
2019-12-01,06:49,75
2019-12-01,06:51,75
2019-12-01,06:53,54
2019-12-01,06:55,75
2019-12-01,06:57,75
2019-12-01,06:59,74
2019-12-01,07:01,75
2019-12-01,07:03,75
2019-12-01,07:05,48
2019-12-01,07:07,75
2019-12-01,07:09,76
2019-12-01,07:13,75
2019-12-01,07:15,63
2019-12-01,07:17,71
2019-12-01,07:19,71
2019-12-01,07:21,76
2019-12-01,07:23,48
2019-12-01,07:25,75
2019-12-01,07:27,75
2019-12-01,07:29,75
2019-12-01,07:31,49
2019-12-01,07:35,71
2019-12-01,07:37,75
2019-12-01,07:39,63
2019-12-01,07:41,54
2019-12-01,07:43,75
2019-12-01,07:45,52
2019-12-01,07:47,75
2019-12-01,07:49,74
2019-12-01,07:51,75
2019-12-01,07:53,55
2019-12-01,07:55,68
2019-12-01,07:57,72
2019-12-01,07:59,55
2019-12-01,08:01,76
2019-12-01,08:03,75
2019-12-01,08:05,75
2019-12-01,08:07,55
2019-12-01,08:09,48
2019-12-01,08:11,73
2019-12-01,08:13,55
2019-12-01,08:15,75
2019-12-01,08:17,62
2019-12-01,08:19,48
2019-12-01,08:21,59
2019-12-01,08:23,48
2019-12-01,08:25,41
2019-12-01,08:27,75
2019-12-01,08:29,43
2019-12-01,08:31,76
2019-12-01,08:33,76
2019-12-01,08:35,71
2019-12-01,08:37,48
2019-12-01,08:41,94
2019-12-01,08:43,65
2019-12-01,08:45,48
2019-12-01,08:47,69
2019-12-01,08:49,75
2019-12-01,08:51,49
2019-12-01,08:53,49
2019-12-01,08:55,44
2019-12-01,08:57,43
2019-12-01,08:59,45
2019-12-01,09:01,47
2019-12-01,09:03,75
2019-12-01,09:51,48
2019-12-01,09:53,75
2019-12-01,09:55,48
2019-12-01,09:57,48
2019-12-01,09:59,48
2019-12-01,10:01,47
2019-12-01,10:03,49
2019-12-01,10:05,48
2019-12-01,10:07,93
2019-12-01,10:09,85
2019-12-01,10:11,75
2019-12-01,10:13,75
2019-12-01,10:15,75
2019-12-01,10:17,75
2019-12-01,10:19,75
2019-12-01,10:21,75
2019-12-01,10:23,62
2019-12-01,10:25,64
2019-12-01,10:27,75
2019-12-01,10:29,63
2019-12-01,10:31,75
2019-12-01,10:35,57
2019-12-01,10:37,48
2019-12-01,10:39,48
2019-12-01,10:41,47
2019-12-01,10:43,44
2019-12-01,10:45,46
2019-12-01,10:47,55
2019-12-01,10:49,63
2019-12-01,10:51,49
2019-12-01,10:53,49
2019-12-01,10:55,75
2019-12-01,10:57,55
2019-12-01,10:59,51
2019-12-01,11:01,64
2019-12-01,11:03,73
2019-12-01,11:05,75
2019-12-01,11:07,48
2019-12-01,11:09,76
2019-12-01,11:11,48
2019-12-01,11:13,48
2019-12-01,11:15,48
2019-12-01,11:17,49
2019-12-01,11:19,48
2019-12-01,11:21,75
2019-12-01,11:23,48
2019-12-01,11:25,47
2019-12-01,11:27,76
2019-12-01,11:29,48
2019-12-01,11:31,51
2019-12-01,11:33,48
2019-12-01,11:35,55
2019-12-01,11:37,75
2019-12-01,11:39,48
2019-12-01,11:41,52
2019-12-01,11:43,76
2019-12-01,11:45,48
2019-12-01,11:47,64
2019-12-01,11:48,76
2019-12-01,11:49,83
2019-12-01,11:50,95
2019-12-01,11:52,81
2019-12-01,11:53,86
2019-12-01,11:56,77
2019-12-01,12:16,102
2019-12-01,12:17,71
2019-12-01,12:18,75
2019-12-01,12:24,74
2019-12-01,12:26,75
2019-12-01,12:56,76
2019-12-01,13:26,72
2019-12-01,13:56,71
2019-12-01,13:57,81
2019-12-01,14:15,94
2019-12-01,14:16,79
2019-12-01,14:17,83
2019-12-01,14:18,107
2019-12-01,14:19,103
2019-12-01,14:20,103
2019-12-01,14:26,93
2019-12-01,14:37,68
2019-12-01,14:38,67
2019-12-01,14:54,76
2019-12-01,14:55,79
2019-12-01,14:56,78
2019-12-01,15:00,89
2019-12-01,15:01,90
2019-12-01,15:02,96
2019-12-01,15:03,89
2019-12-01,15:04,95
2019-12-01,15:05,94
2019-12-01,15:06,100
2019-12-01,15:07,111
2019-12-01,15:08,110
2019-12-01,15:09,117
2019-12-01,15:10,107
2019-12-01,15:11,96
2019-12-01,15:12,97
2019-12-01,15:13,101
2019-12-01,15:14,95
2019-12-01,15:15,92
2019-12-01,15:16,70
2019-12-01,15:17,76
2019-12-01,15:19,109
2019-12-01,15:31,83
2019-12-01,17:03,81
2019-12-01,17:05,75
2019-12-01,17:18,75
2019-12-01,17:20,63
2019-12-01,17:22,96
2019-12-01,17:23,72
2019-12-01,17:24,118
2019-12-01,17:25,99
2019-12-01,17:26,105
2019-12-01,17:27,125
2019-12-01,17:28,120
2019-12-01,17:29,127
2019-12-01,17:30,128
2019-12-01,17:31,124
2019-12-01,17:32,128
2019-12-01,17:34,109
2019-12-01,17:35,120
2019-12-01,17:36,120
2019-12-01,17:37,116
2019-12-01,17:38,109
2019-12-01,17:41,106
2019-12-01,17:42,126
2019-12-01,17:43,121
2019-12-01,17:44,117
2019-12-01,17:45,119
2019-12-01,17:46,87
2019-12-01,17:47,92
2019-12-01,17:48,89
2019-12-01,17:49,97
2019-12-01,17:50,71
2019-12-01,17:51,68
2019-12-01,17:53,88
2019-12-01,17:54,87
2019-12-01,18:13,77
2019-12-01,18:14,77
2019-12-01,18:15,101
2019-12-01,18:37,78
2019-12-01,18:53,83
2019-12-01,18:54,83
2019-12-01,19:07,94
2019-12-01,19:37,86
2019-12-01,20:00,110
2019-12-01,20:01,114
2019-12-01,20:07,81
2019-12-01,20:37,78
2019-12-01,20:38,108
2019-12-01,21:07,93
2019-12-01,21:20,86
2019-12-01,21:37,71
2019-12-01,22:07,71
2019-12-01,22:37,71
2019-12-01,22:46,78
2019-12-01,22:47,81
2019-12-01,22:48,81
2019-12-01,23:01,74
2019-12-01,23:03,75
2019-12-01,23:05,75
2019-12-01,23:07,75
2019-12-01,23:09,75
2019-12-01,23:11,74
2019-12-01,23:13,75
2019-12-01,23:14,81
2019-12-01,23:15,83
2019-12-01,23:24,75
2019-12-01,23:25,74
2019-12-01,23:41,75
2019-12-01,23:43,75
2019-12-01,23:45,49
2019-12-01,23:47,75
2019-12-01,23:49,71
2019-12-01,23:51,71
2019-12-01,23:53,76
2019-12-01,23:55,75
2019-12-01,23:57,93
2019-12-01,23:59,63
2019-12-02,00:28,74
2019-12-02,00:30,50
2019-12-02,00:32,57
2019-12-02,00:34,77
2019-12-02,00:36,74
2019-12-02,00:41,60
2019-12-02,00:43,55
2019-12-02,00:45,55
2019-12-02,00:47,54
2019-12-02,00:49,56
2019-12-02,00:51,63
2019-12-02,00:53,48
2019-12-02,00:55,49
2019-12-02,00:57,48
2019-12-02,00:59,48
2019-12-02,01:01,55
2019-12-02,01:03,48
2019-12-02,01:05,75
2019-12-02,01:07,47
2019-12-02,01:09,59
2019-12-02,01:11,49
2019-12-02,01:13,48
2019-12-02,01:15,55
2019-12-02,01:17,54
2019-12-02,01:19,55
2019-12-02,01:21,48
2019-12-02,01:23,54
2019-12-02,01:25,71
2019-12-02,01:27,55
2019-12-02,01:29,50
2019-12-02,01:31,55
